B2,B3,B4,B5,B6,B7,B8,B8A,CLASSNAME,,,
0.0687,0.112,0.1046,0.1561,0.2851,0.3312,0.3182,0.3385,0,,,
0.0807,0.1116,0.1188,0.1606,0.2949,0.3532,0.3384,0.3508,0,,,10000
0.072,0.116,0.1116,0.1577,0.2838,0.3323,0.3326,0.3396,0,,,
0.0592,0.1052,0.0879,0.1704,0.2979,0.3473,0.3308,0.3523,0,,,
0.0695,0.1164,0.1086,0.1777,0.2962,0.3374,0.3332,0.3531,0,,,
0.0712,0.1214,0.1132,0.1738,0.2949,0.3381,0.3242,0.3554,0,,,
0.0561,0.0996,0.0857,0.1607,0.2826,0.3231,0.3232,0.3339,0,,,
0.0624,0.1086,0.0944,0.1723,0.2788,0.3244,0.3284,0.338,0,,,
0.0552,0.096,0.0786,0.1315,0.2214,0.2578,0.2678,0.2771,0,,,
0.0561,0.0996,0.0857,0.1607,0.2826,0.3231,0.3232,0.3339,0,,,
0.0687,0.112,0.1046,0.1561,0.2851,0.3312,0.3182,0.3385,0,,,
0.0703,0.1144,0.1026,0.1597,0.2839,0.3285,0.3208,0.3371,0,,,
0.0676,0.1112,0.1017,0.1561,0.2851,0.3312,0.3156,0.3385,0,,,
0.0714,0.1202,0.1086,0.1723,0.2788,0.3244,0.335,0.338,0,,,
0.0716,0.1262,0.1152,0.174,0.2937,0.3344,0.3146,0.3454,0,,,
0.0592,0.1052,0.0879,0.1704,0.2979,0.3473,0.3308,0.3523,0,,,
0.0753,0.1166,0.113,0.1738,0.2914,0.3365,0.327,0.3455,0,,,
0.0714,0.1202,0.1086,0.1723,0.2788,0.3244,0.335,0.338,0,,,
0.0634,0.1124,0.0935,0.174,0.2937,0.3344,0.3234,0.3454,0,,,
0.0712,0.1092,0.103,0.158,0.291,0.3428,0.3398,0.3491,0,,,
0.0678,0.1124,0.0981,0.161,0.2785,0.3197,0.3248,0.3283,0,,,
0.0624,0.1086,0.0944,0.1723,0.2788,0.3244,0.3284,0.338,0,,,
0.0638,0.1032,0.0944,0.1597,0.2839,0.3285,0.3152,0.3371,0,,,
0.0703,0.1144,0.1026,0.1597,0.2839,0.3285,0.3208,0.3371,0,,,
0.0714,0.1202,0.1086,0.1723,0.2788,0.3244,0.335,0.338,0,,,
0.0687,0.112,0.1046,0.1561,0.2851,0.3312,0.3182,0.3385,0,,,
0.0724,0.1172,0.1102,0.1561,0.2851,0.3312,0.314,0.3385,0,,,
0.0716,0.1262,0.1152,0.174,0.2937,0.3344,0.3146,0.3454,0,,,
0.0723,0.1138,0.1068,0.1777,0.2962,0.3374,0.3266,0.3531,0,,,
0.0703,0.1144,0.1026,0.1597,0.2839,0.3285,0.3208,0.3371,0,,,
0.0648,0.1001,0.0967,0.158,0.291,0.3428,0.3376,0.3491,0,,,
0.0599,0.108,0.096,0.1597,0.2839,0.3285,0.3168,0.3371,0,,,
0.0605,0.1064,0.0875,0.1476,0.2955,0.3464,0.3286,0.3571,0,,,
0.0672,0.1078,0.108,0.1582,0.2736,0.3135,0.303,0.3304,0,,,
0.0687,0.112,0.1046,0.1561,0.2851,0.3312,0.3182,0.3385,0,,,
0.061,0.0931,0.0885,0.156,0.2449,0.2936,0.2868,0.2932,0,,,
0.062,0.1064,0.0949,0.161,0.2785,0.3197,0.3172,0.3283,0,,,
0.07,0.1168,0.1032,0.1577,0.2838,0.3323,0.3376,0.3396,0,,,
0.0639,0.1046,0.098,0.1582,0.2736,0.3135,0.3052,0.3304,0,,,
0.061,0.099,0.0902,0.1476,0.2955,0.3464,0.3408,0.3571,0,,,
0.072,0.116,0.1116,0.1577,0.2838,0.3323,0.3326,0.3396,0,,,
0.0695,0.1164,0.1086,0.1777,0.2962,0.3374,0.3332,0.3531,0,,,
0.0672,0.1154,0.1036,0.158,0.291,0.3428,0.333,0.3491,0,,,
0.0592,0.1052,0.0879,0.1704,0.2979,0.3473,0.3308,0.3523,0,,,
0.0678,0.1126,0.1058,0.1671,0.289,0.3288,0.3278,0.3447,0,,,
0.0669,0.1088,0.0954,0.158,0.291,0.3428,0.331,0.3491,0,,,
